preco,area,salas,quartos,suites,banheiros,andar,garagens,iptu,condominio,portaria,espaco_social,piscina,academia
165000.0,59,2,2,0,2,0.0,1,27.0,230.0,0,0,0,0
190000.0,58,1,2,0,1,2.0,1,38.97,260.0,1,0,0,0
205000.0,51,2,2,1,2,2.0,1,36.02,450.0,1,0,0,0
204750.0,50,1,2,0,1,3.0,1,28.33,150.0,0,0,0,0
395000.0,80,2,3,1,2,3.0,2,125.0,290.0,0,0,0,0
270000.0,47,1,2,0,1,2.0,1,37.5,260.0,0,0,0,0
370000.0,69,2,3,1,2,2.0,2,66.67,150.0,0,0,0,0
620000.0,132,2,4,1,2,4.0,2,66.67,150.0,0,0,0,0
245000.0,50,1,2,0,1,1.0,1,35.0,180.0,0,0,0,0
600000.0,140,2,4,1,2,1.0,2,148.0,250.0,0,0,0,0
215000.0,62,1,3,0,1,1.0,1,51.02,260.0,1,0,1,0
215000.0,55,1,2,0,1,1.0,1,66.67,230.0,0,0,1,0
215000.0,60,1,3,0,1,2.0,1,85.0,236.0,1,0,1,0
214310.0,67,1,3,0,1,1.0,0,639.0,147.0,0,0,0,0
180000.0,55,1,2,0,1,1.0,1,41.2,210.0,0,0,0,0
220000.0,44,1,2,0,1,5.0,1,400.0,100.0,0,0,0,0
218000.0,44,1,2,0,1,3.0,1,33.33,100.0,0,0,0,0
219000.0,44,1,2,0,1,4.0,1,33.33,100.0,0,0,0,0
216000.0,45,1,2,0,1,2.0,1,33.33,100.0,0,0,0,0
217000.0,44,1,2,0,1,3.0,1,33.33,100.0,0,0,0,0
217000.0,44,1,2,0,1,2.0,1,33.33,100.0,0,0,0,0
216000.0,44,1,2,0,1,2.0,1,33.33,100.0,0,0,0,0
330000.0,110,2,3,1,2,2.0,1,1000.0,160.0,0,0,0,0
187716.24,49,1,2,0,1,3.0,1,32.79,175.0,0,0,1,0
310000.0,90,1,2,0,1,4.0,2,172.0,189.0,0,0,0,0
199000.0,55,1,2,0,1,3.0,1,77.76,285.0,0,0,0,0
200000.0,56,1,2,0,1,1.0,1,69.17,360.0,1,0,1,0
270000.0,62,1,3,0,1,2.0,1,800.0,398.0,1,0,1,0
230000.0,92,1,2,0,1,8.0,1,79.5,382.0,1,0,1,0
190000.0,52,1,2,0,1,8.0,1,73.17,360.0,1,0,1,0
210000.0,58,2,2,0,2,3.0,1,79.75,355.0,1,1,1,0
198000.0,54,1,2,0,1,2.0,1,65.83,350.0,1,1,1,0
384000.0,110,1,3,0,1,8.0,1,111.33,490.0,1,0,1,0
475000.0,140,2,4,1,2,3.0,2,124.24,100.0,0,0,0,0
145000.0,60,1,2,0,1,4.0,1,50.0,280.0,1,0,1,0
205000.0,62,1,2,0,1,1.0,1,20.83,250.0,1,0,0,0
150000.0,65,1,2,0,1,1.0,1,45.0,300.0,1,0,1,0
174232.07,63,1,2,0,1,4.0,1,28.33,300.0,0,0,0,0
303500.0,75,1,2,0,1,1.0,1,125.0,150.0,0,0,0,0
276000.0,51,1,2,0,1,2.0,2,64.62,200.0,0,0,0,0
280000.0,59,2,2,1,2,2.0,2,40.0,270.0,0,0,1,0
288000.0,100,2,3,1,2,3.0,1,956.0,170.0,0,0,0,0
495000.0,116,2,3,1,2,4.0,2,80.33,150.0,0,0,0,0
330000.0,58,1,2,0,1,3.0,2,80.33,150.0,0,0,0,0
199000.0,43,1,2,0,1,2.0,0,24.98,150.0,0,0,0,0
310000.0,70,1,3,0,1,3.0,1,70.0,280.0,0,0,0,0
590000.0,150,3,3,1,3,3.0,2,138.82,250.0,0,0,0,0
245000.0,60,1,3,0,1,4.0,1,75.0,220.0,0,0,0,0
400000.0,96,1,2,0,1,4.0,1,113.0,150.0,0,0,0,0
780000.0,164,3,3,1,3,3.0,2,100.0,200.0,0,0,0,0
450000.0,82,2,3,1,2,2.0,2,100.0,200.0,0,0,0,0
750000.0,157,2,3,1,2,1.0,2,100.0,200.0,0,0,0,0
520000.0,140,3,2,1,3,3.0,1,125.0,220.0,0,0,0,0
350000.0,66,2,3,1,2,2.0,1,68.0,110.0,0,0,0,0
250000.0,48,1,2,0,1,1.0,1,35.0,230.0,0,0,0,0
262900.0,50,2,2,1,2,4.0,1,80.0,200.0,0,0,0,0
242600.0,50,1,2,0,1,2.0,1,80.0,120.0,0,0,0,0
380000.0,90,2,3,1,2,3.0,1,81.23,400.0,0,0,0,0
