preco,area,salas,quartos,suites,banheiros,andar,garagens,iptu,condominio,portaria,distancia_metro,espaco_social,piscina,academia,lat,lng,ranking_escola,distancia_escola,renda_media,qtd_crimes_violentos,farmacias_proximas,supermercados_proximos,parques_proximos
160664.44,65,1,2,0,1,4.0,1,33.0,210.0,0,4979,0,1,0,-19.81528212,-43.9938092,95,0.844,1472,48,1,6,3
150000.0,48,1,2,0,1,2.0,1,30.23,154.0,0,5038,0,1,0,-19.81531904,-43.99438846,95,0.8,1472,48,3,5,3
310000.0,60,2,2,1,2,9.0,1,100.0,405.0,0,4351,1,1,0,-19.81591648,-43.98783768,110,1.235,1705,48,6,7,1
150000.0,47,1,2,0,1,4.0,1,32.5,180.0,0,4738,0,0,0,-19.81791392,-43.99182939,110,0.858,1705,48,5,6,1
180000.0,44,1,2,0,1,1.0,1,73.33,230.0,0,4870,0,1,0,-19.818003,-43.9931024,110,0.821,1705,48,6,6,2
250000.0,90,1,2,0,1,4.0,1,88.33,253.0,0,4870,0,1,0,-19.818003,-43.9931024,110,0.821,1705,48,6,6,2
243000.0,64,1,2,0,1,1.0,1,120.0,180.0,0,4556,0,0,0,-19.81823,-43.99011002,110,0.894,1705,48,11,6,1
208000.0,45,1,2,0,1,2.0,1,80.0,180.0,0,4556,0,0,0,-19.81823,-43.99011002,110,0.894,1705,48,11,6,1
278500.0,80,1,2,0,1,4.0,1,150.0,180.0,0,4556,0,0,0,-19.81823,-43.99011002,110,0.894,1705,48,11,6,1
227500.0,54,1,2,0,1,2.0,1,40.0,180.0,0,4556,0,0,0,-19.81823,-43.99011002,110,0.894,1705,48,11,6,1
290000.0,64,1,2,0,1,2.0,1,75.0,80.0,0,5289,0,0,0,-19.80593139,-43.99436512,68,0.27,1792,17,10,5,3
234044.44,100,1,2,0,1,4.0,1,55.18,100.0,0,5264,0,0,0,-19.80593152,-43.99411054,68,0.249,1792,17,10,5,3
191489.37,52,1,2,0,1,3.0,1,900.0,230.0,1,2538,1,1,1,-19.8086035,-43.9664594,76,0.198,1901,4,7,6,6
239400.0,70,2,3,1,2,1.0,1,110.0,320.0,1,2601,0,1,0,-19.808854,-43.96737387,76,0.214,1901,4,6,6,6
215000.0,87,1,2,0,1,1.0,1,90.0,300.0,1,1823,1,1,0,-19.8090104,-43.93593826,106,0.759,1816,8,2,5,3
249000.0,75,1,2,0,1,1.0,1,47.53,200.0,1,1823,1,1,0,-19.8090104,-43.93593826,106,0.759,1816,8,2,5,3
340000.0,68,2,3,1,2,2.0,3,74.17,200.0,0,2643,0,0,0,-19.81164227,-43.96952926,76,0.578,1901,21,5,5,4
450000.0,109,2,3,1,2,1.0,1,100.0,150.0,0,3277,0,0,0,-19.8122032,-43.9763183,64,0.791,2196,21,5,6,3
250000.0,50,1,2,0,1,3.0,1,45.17,85.0,0,2628,0,0,0,-19.81299118,-43.97000497,26,0.534,6171,21,4,4,4
150000.0,49,1,2,0,1,0.0,1,50.0,190.0,0,3253,0,0,0,-19.8132275,-43.9764308,64,0.688,2196,21,11,7,3
253491.89,70,2,2,1,2,12.0,1,67.75,350.0,1,3142,1,1,1,-19.8133805,-43.9753712,64,0.641,2196,21,11,5,4
400000.0,90,2,2,1,2,4.0,2,82.0,170.0,0,2679,0,0,0,-19.81353076,-43.97075584,26,0.583,6171,21,9,3,5
230000.0,48,1,2,0,1,6.0,1,35.83,235.0,1,3126,0,1,0,-19.813794,-43.9753531,64,0.596,2196,21,11,5,4
280000.0,55,2,2,2,2,12.0,1,70.83,350.0,1,3126,1,1,0,-19.813794,-43.9753531,64,0.596,2196,21,11,5,4
350000.0,60,2,3,1,2,3.0,1,83.33,280.0,1,3126,1,1,0,-19.813794,-43.9753531,64,0.596,2196,21,11,5,4
318000.0,75,2,3,1,2,2.0,1,108.33,450.0,1,3126,1,1,1,-19.813794,-43.9753531,64,0.596,2196,21,11,5,4
150000.0,45,1,2,0,1,2.0,1,60.0,180.0,0,3209,0,0,0,-19.8138976,-43.9762094,64,0.61,2196,21,11,7,3
279000.0,57,2,2,1,2,2.0,1,70.0,200.0,0,2356,0,0,0,-19.81455998,-43.96786001,26,0.259,6171,21,4,2,5
